id,trigger_event_id_OLD,trigger_event_id,tide_gauge_id,date_from,date_to,date_specificity,date_certainty,year_comment,month_comment,day_comment,placename,latitude,longitude,validity,is_tsunami_observed,is_tsunami_observed_certainty,is_seiche_observed,is_seiche_observed_certainty,source_material,discussion,time_arrival_from,time_arrival_to,time_arrival_specificity,time_arrival_certainty,time_arrival_comment,time_elapsed,time_elapsed_certainty,surge_duration_lower,surge_duration_upper,surge_duration_certainty,max_effective_peak-trough_lower,max_effective_peak-trough_upper,max_effective_peak-trough_certainty,time_peak-effective_from,time_peak-effective_to,time_peak-effective_specficity,time_peak-effective_certainty,time_trough-effective_from,time_trough-effective_to,time_trough-effective_specificity,time_trough-effective_certainty,time_peak-trough-effective_comment,time-elapsed_peak-trough-effective_lower,time-elapsed_peak-trough-effective_upper,time-elapsed_peak-trough-effective_certainty,max_effective_zeropeak,max_effective_zeropeak_comment,max_effective_zeropeak_certainty,time_zeropeak-effective_from,time_zeropeak-effective_to,time_zeropeak-effective_specificity,time_zeropeak-effective_certainty,time_zeropeak-effective_comment,time-elapsed_zeropeak-effective_lower,time-elapsed_zeropeak-effective_upper,time-elapsed_zeropeak-effective_certainty,predominant_periods,is_first_motion_up,tidal_records,reference_datasource,time_arrival_expected_from,time_arrival_expected_to,time_arrival_expected_specificity,time_arrival_expected_certainty,time_arrival_expected_comment,obs_time_first_arrival_from,obs_time_first_arrival_to,obs_time_first_arrival_specificity,obs_time_first_arrival_certainty,obs_time_first_arrival_comment,obs_first_arrival_comments,traveltime_firstarrival_lower,traveltime_firstarrival_upper,traveltime_firstarrival_certainty,obs_observed_time_lapsed_lower,obs_observed_time_lapsed_upper,obs_observed_time_lapsed_certainty,obs_surge_duration_min_lower,obs_surge_duration_min_upper,obs_surge_duration_min_certainty,obs_max_peak-trough_lower,obs_max_peak-trough_upper,obs_max_peak-trough_certainty,obs_time_max_peak-trough-effective_comment,obs_time_max_peak-effective_from,obs_time_max_peak-effective_to,obs_time_max_peak-effective_specificity,obs_time_max_peak-effective_certainty,obs_time_max_trough-effective_from,obs_time_max_trough-effective_to,obs_time_max_trough-effective_specificity,obs_time_max_trough-effective_certainty,obs_water_elevation_shore_lower,obs_water_elevation_shore_upper,obs_water_elevation_shore_certainty,obs_time_max_elevation_comment,obs_time_max_elevation_from,obs_time_max_elevation_to,obs_time_max_elevation_specificity,obs_time_max_elevation_certainty,obs_height_max_at-inundation_lower,obs_height_max_at-inundation_upper,obs_height_max_at-inundation_certainty,obs_height_max_at-inundation_comment,obs_time_max_height_from,obs_time_max_height_to,obs_time_max_height_specificity,obs_time_max_height_certainty,obs_time_max_height_comment,obs_waterheight_at-inundation_proxy_max,obs_waterheight_at-inundation_proxy_min,obs_height_onshore,obs_max_onshore_flow_depth,obs_extent_inundation_lower,obs_extent_inundation_upper,obs_extent_inundation_certainty,obs_extent_inundation_comment,obs_heigth_max_inundation_lower,obs_heigth_max_inundation_upper,obs_heigth_max_inundation_certainty,obs_heigth_max_inundation_comment,obs_time_max_height_inundation_from,obs_time_max_height_inundation_to,obs_time_max_height_inundation_specificity,obs_time_max_height_inundation_certainty,obs_time_max_height_inundation_comment,obs_distance_travelled_lower,obs_distance_travelled_upper,obs_distance_travelled_certainty,obs_distance_travelled_comment,obs_height_max_bore_lower,obs_height_max_bore_upper,obs_height_max_bore_certainty,obs_is_first_motion-up,obs_is_first_motion-up_certainty,obs_predominant_period_lower,obs_predominant_period_upper,obs_predominant_period_certainty,obs_predominant_period_comment,obs_no_sig-waves,obs_wave_type,obs_wave_type_certainty,obs_fatalities,obs_fatalities_certainty,obs_injuries,obs_injuries_certainty,obs_damage,obs_intensity_lower,obs_intensity_upper,obs_threat_level,obs_threat_level_certainty,obs_measurement_type,obs_photographs,impact_summary,reference_ids,completeness,previous_database
1,1,1,,1/1/1200,,y,2,1200-,,,Napier [default location: Port of Napier],-39.476,176.92,1,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
2,2,2,,1/1/1200,1/1/1480,y,2,1200-1480?,,,Orepuki Beach,-46.283,167.738,2,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
3,3,3,,1/1/1300,1/1/1400,y,2,1300-1400  (14th century),,,Kaipara Harbour,-36.32,174.31,1,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
4,4,4,,1/1/1400,1/1/1500,y,2,1400-1500 (15th century),,,"Lyall Bay, Wellington",-41.32844853,174.7966295,2,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
5,5,5,,1/1/1500,1/1/1600,y,2,1500-1600 (approx. 16th century),,,"Moawhitu (Greville Harbour), D'Urville Island",-40.8342146,173.8009707,2,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
6,6,6,,1/1/1550,1/1/1550,y,2,~1550,,,Cape Taranaki [Default location: Cape Egmont],-39.276,173.755,2,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
7,7,7,,1/1/1810,1/1/1830,y,2,1810-1820s,March-May,,Fortrose,-46.575,168.802,2,TRUE,1,,,see source event,"In June 1823 when Captain Kent visited Ruapuke in the Mermaid, he noted that most of the local people were away gathering mutton-bird from the southern islands. He visited Te Wera’s village at the Bluff which was very small and almost deserted, and Port William which was then the base for some sealers (including Thoms) under Captain Day in the Sydney brig Wellington. Kent also mentioned the drowning of the chief ‘Pihee’ and about forty others in June 1823 when their double canoe [‘unua’] broke up while returning from the mutton-bird islands. p39
Further west, the largest and oldest village was Pahi’s kaika, though it was much reduced in numbers as forty of its people had drowned in 1823 [see p38 above]. (Richards, 1995)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
8,7,7,,1/1/1810,1/1/1830,y,2,1810-1820s,March-May,,Orepuki Beach,-46.283,167.738,2,TRUE,1,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2,,,,U,U,,,,,see source event,,see source event,see source event
9,8,8,,1/1/1826,1/1/1826,y,2,"1826, date uncertain to within a few years",July-December,,"Seal Islands, Dusky Sound",-45.78,166.48,3,TRUE,1,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
10,9,9,,1/1/1831,1/1/1834,y,2,1831-1834,,,Poverty Bay [Default location: Gisborne],-38.66682667,178.0241244,3,TRUE,1,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,III,III,2,1,,,see source event,,see source event,see source event
11,10,10,,21/2/1835,21/2/1835,d,1,1835,February ,21,Bay of Islands [Default location: Waitangi],-35.27,174.08,4,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/2/1835 16:30,21/2/1835 16:30,t,1,,,,,,,,13.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
12,11,11,,8/11/1837,8/11/1837,d,1,1837,November,8,"New Zealand [Default location: Waitangi, Bay of Islands]",-35.27,174.08,4,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/11/1837 12:30,9/11/1837 12:30,t,1,,,,,,,,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,see source event,,see source event,see source event
13,12,12,,1/1/1839,1/1/1839,y,2,1839,Feb (late) - early July,,"Waikawa, Southland",-46.62713823,169.1335948,3,,,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,2,,15/2/1839 0:00,15/6/1839 0:00,d,2,Feb (late) - early July,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VI,VI,2,1,,,see source event,,see source event,see source event
14,13,13,,1/8/1840,1/8/1840,m,2,1840,August,,Hicks Bay,-37.5908484,178.2927746,2,TRUE,1,,,"""Seismic waves had been experienced on the East Coast on several earlier occasions. In August, 1840 … a wave of this character threw H.M.S. Buffalo on shore at Whitianga (Mercury Bay) and wrecked her. Tokato block (between Te Araroa and Hicks Bay) was strewn with fish"". (McKay, 1966):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fish stranded,VI,VI,,,,,see source event,,see source event,see source event
15,13,13,,1/8/1840,1/8/1840,m,2,1840,August,,Te Araroa,-37.63220739,178.3640096,2,TRUE,1,,,"According to McKay (1966): ""Seismic waves had been experienced on the East Coast on several earlier occasions. In August, 1840 … a wave of this character threw H.M.S. Buffalo on shore at Whitianga (Mercury Bay) and wrecked her. Tokato block (between Te Araroa and Hicks Bay) was strewn with fish"". The ship , Buffalo, was wrecked during a storm at Whitianga, on 28 July 1840. Riddle (1996)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fish stranded,VI,VI,,,,,see source event,,see source event,see source event
16,14,14,,8/7/1843,8/7/1843,d,1,1843,July,8,Wanganui,-39.93110648,175.0465511,2,TRUE,1,TRUE,1,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,8/7/1843 17:00,8/7/1843 17:00,t,1,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV,IV,,,,,see source event,,see source event,see source event
17,15,15,,6/7/1845,6/7/1845,d,1,1845,July,6,Wanganui,-39.93110648,175.0465511,1,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2,,6/7/1845 13:00,6/7/1845 13:00,t,1,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,,,see source event,
18,16,16,,7/5/1846,7/5/1846,d,1,1846,May,7,Motutere,-38.88684537,175.9548467,4,TRUE,1,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBSERVED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,,,,,see source event,,see source event,see source event
19,17,17,,16/10/1848,16/10/1848,d,1,1848,October,16,Wellington: Lambton Harbour,-41.29,174.78,1,TRUE,2,,,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,2,,16/10/1848 0:00,16/10/1848 0:00,d,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV,IV,,,,,see source event,,see source event,see source event
20,18,18,,18/10/1848,18/10/1848,d,1,1848,October,18,New Plymouth,-39.05652082,174.0764588,0,FALSE,1,,,"On Wednesday [Oct 18] we had one of the heaviest gales of wind ever experienced here from the N.,W., accompanied by much rain and a remarkably high tide … (Wellington Independent 22 Nov 1848)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,see source event,,see source event,see source event
21,18,18,,18/10/1848,18/10/1848,d,1,1848,October,18,Warea,-39.2272986,173.8135682,0,FALSE,1,,,"""William Greenwood (1967), in his account of the German missionary Riemenschneider at Warea, just north of Cape Egmont, describes an interesting although much less devastating parallel. In 1848, ... earthquakes caused a lot of damage both to the mission station and to Warea; and apparently, at the same time people saw huge waves at sea smashing up Maori sailing ships. Peter Oettli (2006, in press) fixes the date as the morning of 18 October 1848 at 4 a.m. ... and further mentions that the tide rose up higher at Warea than anybody had ever seen before.... The water flooded the camp of migrants, and waves swept away a woman (later rescued), along with her hut."" ( McFadgen, 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VII,VII,,,,,see source event,,see source event,see source event
22,18,18,,18/10/1848,18/10/1848,d,1,1848,October,18,Wellington: Lambton Harbour,-41.29,174.78,0,FALSE,1,,,"This morning [Oct 18] the tide rose to an unusual height, overflowing part of Lambton Quay and all those sections at the head of the Bay fronting the water and immediately adjoining the swamp. (NZ Spectator & Cook Straits Guardian 18 October 1848); on Wednesday there was an unusually high tide. Although the tides are at the neap, the tide rose over the beach-road, and flooded the lower parts of some houses. The continuance of S. E. gales would, in the absence of earthquakes, be enough to account for this, yet it seems to have produced a good deal of alarm. (Westminster and Foreign Quarterly Review, Vol 51, 1849)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,,,,,see source event,,see source event,see source event
23,19,19,,19/10/1848,19/10/1848,d,1,1848,October ,19,Wellington: Lambton Harbour,-41.29,174.78,0,FALSE,1,TRUE,1,see source event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT OBSERVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,I,,,,,see source event,,see source event,see source event
