id,location_region,location_site,latitude,longitude,sitestatus,physical_characteristics,classification,date_min,date_max,inferred_date_range_min,inferred_date_range_max,age_max,age_min,inferred_age_range,time_scale_age,validity,natureofevidence,natureofevidencedesc,datingtechnique,geodatingtechnique,eventcomment,elevation,elevation_comment,est_min_landward_limit,est_min_landward_limit_comment,thickness,source_cause,source_cause_comment,sourcecertainty,source_location,source_lat,source_lon,proxies,references
"1","Canterbury","Port Levy","-43.661315","172.811275","Deposit present","Coarse organic debris","Historical","2011","2011","2011","2011","2011","2011","2011","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","1.5","","38","","0.02","Quake","","Known","Japan","38.297","142.372","11,15,17,28,30","130"
"2","Canterbury","Port Levy","-43.663164","172.820725","Deposit present","Silt in a silty soil matrix","Historical","2010","2010","2010","2010","2010","2010","2010","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","1","","35","","0.02","Quake","","Known","Chile","-35.909","-72.733","1,11,28,30","130"
"3","Canterbury","Teddington, Lyttelton Harbour","-43.6672","172.66","Deposit present","Deposit not visible","Historical","2010","2010","2010","2010","2010","2010","2010","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Cs137","Identified primarily by geochemistry","0.5","","150","","","Quake","","Known","Chile, Chile (South)","-41","-73.5","11,13,17,28,30","172"
"4","Southland","Gold Arm, George Sound","-45.0922","167.1436","Deposit present","Stripped soil/veg","Historical","2003","2003","2003","2003","2003","2003","2003","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Geological data","","Stripping of vegetation and soil was minimal with slight damage to a helipad","2","","20","","","Slide","","Known","Landslide on valley side","-45.1","167.14","5,28","149"
"5","Canterbury","Teddington, Lyttelton Harbour","-43.6672","172.66","Deposit present","Mud ripup only","Historical","1964","1964","1964","1964","1964","1964","1964","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Cs137","","0.5","","150","","0.03","Quake","","Known","Alaska","61.04","-148.43","1,11,13,17,28","172"
"6","Canterbury","Lyttelton Harbour","-43.6512","172.6612","Deposit present","","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data, Geological data","Stratigraphic Correlation","Strat: Fortuitous finding in Lyttelton Harbour cores - work unfinished - Cs137 dated","0","","350","","0.02","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,2,5,14,15,17,28,30","98"
"7","Northland","Bland Bay","-35.3398","174.3507","Not applicable","Boat thrown onto beach","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data","","Personal observation relayed to Nyberg, boat was thrown up on land by tsunami","","","","","","Quake","","Known","Chile, Chile (South)","-41","-73.5","28,30","229"
"8","Canterbury","Lyttelton Harbour","-43.6512","172.6612","Not applicable","Boat stranded in harbour","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Excellent (9+ criteria)","Primary","Sedimentary/Artefactual","Historical data","","Personal observation, boat stranded in central harbour, harbour drained four times","","","","","","Quake","","Known","Chile, Chile (South)","-41","-73.5","28,30","7"
"9","Canterbury","Purau Bay","-43.637828","172.754148","Deposit present","Silt in silty soil matrix","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","3","","135","","0.02","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,11,17,28,30","130"
"10","Canterbury","Port Levy","-43.663164","172.820725","Deposit present","Gravel in a silty soil matrix","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","1","","35","","0.04","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,11,28,30","130"
"11","Canterbury","Port Levy","-43.661315","172.811275","Deposit present","Gravels in soil","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Stratigraphic Correlation","","1.5","","38","","0.02","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,11,17,26,28,30","130"
"12","Canterbury","Lavericks Bay","-43.721005","173.097781","Deposit present","Marine sand in sandy soil matrix","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data","Stratigraphic Correlation","","1","","130","","0.01","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,2,11,14,15,16,17,28,30","81"
"13","Canterbury","Teddington, Lyttelton Harbour","-43.6672","172.66","Deposit present","Mud ripup only","Historical","1960","1960","1960","1960","1960","1960","1960","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Geological data","Cs137","","1","","150","","0.03","Quake","","Known","Chile, Chile (South)","-41","-73.5","1,11,13,17,28,30","172"
"14","Hawke's Bay","Wairoa","-39.058","177.4222","Not applicable","Bridge destroyed","Historical","1937","1937","1937","1937","1937","1937","1937","AD","Poor (1-4 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Personal observation from Irene Turner - knocked to ground by EQ, subsequent tsunami took out Pilot Hill bridge. No other corroborating data has poor validity status.","","","","","","","","Inferred","Hawke's Bay","","","28","254,300"
"15","Canterbury","Goose Bay","-42.4794","173.528","Deposit absent","Boulders, car, seaweed","Historical","1936","1936","1936","1936","1936","1936","1936","AD","Poor (1-4 criteria)","Primary","Sedimentary/Artefactual","Historical data","","Reported as 'Tidal wave"" although a large cyclone hit NZ at that time (R. Bell, NIWA, pers. comm. 2004), so has poor validity.","1","","100","","0.02","Slide","","Inferred","Kaikoura (offshore)","-42.47","173.57","1,15,16,28","175"
"16","Hawke's Bay","Wairoa","-39.058","177.4222","Deposit absent","Road+pine trees destroyed","Historical","1931","1931","1931","1931","1931","1931","1931","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Personal observation from Irene Turner - mother told her about road, trees and bridge to Pilot Hill (Browne St) being destroyed along edge of river","","","","","","Quake","","Known","Hawke's Bay","-39.5","176.9","28,30","254,300"
"17","Hawke's Bay","Ahuriri Lagoon, Napier","-39.4859","176.882","Deposit present","Forams in mud","Historical","1931","1931","1931","1931","1931","1931","1931","AD","Moderate (5-8 criteria)","Primary","Sedimentary/Artefactual","Historical data","Stratigraphic Correlation","Strat: No sedimentary evidence - just geochemistry","3.5","","1000","","0.001","Quake","","Known","Hawke's Bay","-39.7","176.7","11,17,18,28,30","55"
"18","Waikato","Waihi Bay","-38.9523","175.7479","Deposit present","None","Historical","1910","1910","1910","1910","1910","1910","1910","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Eyewitness account of landslide-generated tsunami ~10 feet high in Lake Taupo that threw carp up on to road for ""hundreds of yards"" and destroyed all boats/canoes - a man was killed by the landslide.","","","","","","Slide","","Known","Landslide on lakeside","-38.9523","175.7479","28","22,23"
"19","Taranaki","Manawapou River","-39.6409","174.3756","Not applicable","Meteorite impact","Historical","1908","1908","1908","1908","1908","1908","1908","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Parts of meteorite found on land, so physical evidence found. Eyewitness saw it fall into river with a splash (tsunami)","","","","","","Bolide","Meteorite","Known","","","","28","192"
"20","Manawatu-Wanganui","Whanganui River","-39.9442","174.9826","Not applicable","Meteorite impact","Historical","1908","1908","1908","1908","1908","1908","1908","AD","Excellent (9+ criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Fell into sea - eyewitnesses at Castlecliff saw the ""commotion caused by the mass falling into the sea""","","","","","","Bolide","Meteorite","Known","","","","28","192"
"21","Manawatu-Wanganui","Levin","-40.5995","175.1796","Deposit absent","None","Historical","1905","1905","1905","1905","1905","1905","1905","AD","Moderate (5-8 criteria)","Cultural","Anthropological/Pūrākau [Oral record]","Historical data","","Ernest Pacey drowned by tidal wave following earthquake, Sunday, 5 March. Currently no corroborating data for earthquake hence moderate validity.","","","","","","Quake","","Known","Taranaki, Taranaki Bight","","","28","21"
